"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"03.01.2024 08:15 - 03.01.2024 08:30","61492","61224"
"03.01.2024 08:30 - 03.01.2024 08:45","62121","61829"
"03.01.2024 08:45 - 03.01.2024 09:00","62185","62275"
"03.01.2024 09:00 - 03.01.2024 09:15","62428","62371"
"03.01.2024 09:15 - 03.01.2024 09:30","62867","62943"
"03.01.2024 09:30 - 03.01.2024 09:45","63377","63212"
"03.01.2024 09:45 - 03.01.2024 10:00","63541","63024"
"03.01.2024 10:00 - 03.01.2024 10:15","63753","63356"
"03.01.2024 10:15 - 03.01.2024 10:30","63769","63506"
"03.01.2024 10:30 - 03.01.2024 10:45","63938","63892"
"03.01.2024 10:45 - 03.01.2024 11:00","64031","64084"
"03.01.2024 11:00 - 03.01.2024 11:15","64400","64530"
"03.01.2024 11:15 - 03.01.2024 11:30","64545","65071"
"03.01.2024 11:30 - 03.01.2024 11:45","64641","65247"
"03.01.2024 11:45 - 03.01.2024 12:00","64583","65497"
"03.01.2024 12:00 - 03.01.2024 12:15","64595","65538"
"03.01.2024 12:15 - 03.01.2024 12:30","64462","65445"
"03.01.2024 12:30 - 03.01.2024 12:45","64368","64848"
"03.01.2024 12:45 - 03.01.2024 13:00","64241","64619"
"03.01.2024 13:00 - 03.01.2024 13:15","63999","64338"
"03.01.2024 13:15 - 03.01.2024 13:30","63781","63811"
"03.01.2024 13:30 - 03.01.2024 13:45","63321","63611"
"03.01.2024 13:45 - 03.01.2024 14:00","62831","63132"
"03.01.2024 14:00 - 03.01.2024 14:15","62200","62916"
"03.01.2024 14:15 - 03.01.2024 14:30","62147","62536"
"03.01.2024 14:30 - 03.01.2024 14:45","62066","62474"
"03.01.2024 14:45 - 03.01.2024 15:00","61609","62312"
"03.01.2024 15:00 - 03.01.2024 15:15","61887","62530"
"03.01.2024 15:15 - 03.01.2024 15:30","61764","62105"
"03.01.2024 15:30 - 03.01.2024 15:45","61640","61938"
"03.01.2024 15:45 - 03.01.2024 16:00","61461","61834"
"03.01.2024 16:00 - 03.01.2024 16:15","61646","62223"
"03.01.2024 16:15 - 03.01.2024 16:30","61812","62109"
"03.01.2024 16:30 - 03.01.2024 16:45","62292","62806"
"03.01.2024 16:45 - 03.01.2024 17:00","62424","63806"
"03.01.2024 17:00 - 03.01.2024 17:15","63366","64796"
"03.01.2024 17:15 - 03.01.2024 17:30","64207","65007"
"03.01.2024 17:30 - 03.01.2024 17:45","64045","65342"
"03.01.2024 17:45 - 03.01.2024 18:00","64740","65671"
"03.01.2024 18:00 - 03.01.2024 18:15","64891","65502"
"03.01.2024 18:15 - 03.01.2024 18:30","64827","65310"
"03.01.2024 18:30 - 03.01.2024 18:45","64730","65150"
"03.01.2024 18:45 - 03.01.2024 19:00","64323","64987"
"03.01.2024 19:00 - 03.01.2024 19:15","64067","64345"
"03.01.2024 19:15 - 03.01.2024 19:30","63469","63305"
"03.01.2024 19:30 - 03.01.2024 19:45","62976","62711"
"03.01.2024 19:45 - 03.01.2024 20:00","62676","62037"
"03.01.2024 20:00 - 03.01.2024 20:15","61695","60731"
"03.01.2024 20:15 - 03.01.2024 20:30","60504","59634"
"03.01.2024 20:30 - 03.01.2024 20:45","59705","58642"
"03.01.2024 20:45 - 03.01.2024 21:00","58633","58016"
"03.01.2024 21:00 - 03.01.2024 21:15","57615","57217"
"03.01.2024 21:15 - 03.01.2024 21:30","56894","56655"
"03.01.2024 21:30 - 03.01.2024 21:45","56057","56002"
"03.01.2024 21:45 - 03.01.2024 22:00","55293","55185"
"03.01.2024 22:00 - 03.01.2024 22:15","54427","54587"
"03.01.2024 22:15 - 03.01.2024 22:30","53637","53916"
"03.01.2024 22:30 - 03.01.2024 22:45","52829","52693"
"03.01.2024 22:45 - 03.01.2024 23:00","51749","51880"
"03.01.2024 23:00 - 03.01.2024 23:15","50392","50803"
"03.01.2024 23:15 - 03.01.2024 23:30","49549","49899"
"03.01.2024 23:30 - 03.01.2024 23:45","49022","49074"
"03.01.2024 23:45 - 04.01.2024 00:00","48557","48230"
"04.01.2024 00:00 - 04.01.2024 00:15","47043","47834"
"04.01.2024 00:15 - 04.01.2024 00:30","46110","47069"
"04.01.2024 00:30 - 04.01.2024 00:45","45591","46533"
"04.01.2024 00:45 - 04.01.2024 01:00","44949","45876"
"04.01.2024 01:00 - 04.01.2024 01:15","44207","45790"
"04.01.2024 01:15 - 04.01.2024 01:30","44041","45521"
"04.01.2024 01:30 - 04.01.2024 01:45","43942","46034"
"04.01.2024 01:45 - 04.01.2024 02:00","43502","45526"
"04.01.2024 02:00 - 04.01.2024 02:15","43415","45046"
"04.01.2024 02:15 - 04.01.2024 02:30","42982","45074"
"04.01.2024 02:30 - 04.01.2024 02:45","43116","45069"
"04.01.2024 02:45 - 04.01.2024 03:00","43124","45078"
"04.01.2024 03:00 - 04.01.2024 03:15","43447","45322"
"04.01.2024 03:15 - 04.01.2024 03:30","43380","45260"
"04.01.2024 03:30 - 04.01.2024 03:45","43525","45448"
"04.01.2024 03:45 - 04.01.2024 04:00","43967","45774"
"04.01.2024 04:00 - 04.01.2024 04:15","44486","45920"
"04.01.2024 04:15 - 04.01.2024 04:30","44691","46508"
"04.01.2024 04:30 - 04.01.2024 04:45","45427","47020"
"04.01.2024 04:45 - 04.01.2024 05:00","46340","47410"
"04.01.2024 05:00 - 04.01.2024 05:15","47534","48443"
"04.01.2024 05:15 - 04.01.2024 05:30","48357","48798"
"04.01.2024 05:30 - 04.01.2024 05:45","49427","49279"
"04.01.2024 05:45 - 04.01.2024 06:00","50547","50322"
"04.01.2024 06:00 - 04.01.2024 06:15","52947","52188"
"04.01.2024 06:15 - 04.01.2024 06:30","54675","53948"
"04.01.2024 06:30 - 04.01.2024 06:45","55659","54647"
"04.01.2024 06:45 - 04.01.2024 07:00","56889","55999"
"04.01.2024 07:00 - 04.01.2024 07:15","58110","57875"
"04.01.2024 07:15 - 04.01.2024 07:30","58892","59447"
"04.01.2024 07:30 - 04.01.2024 07:45","59799","60399"
"04.01.2024 07:45 - 04.01.2024 08:00","60309","61756"
"04.01.2024 08:00 - 04.01.2024 08:15","60869","63111"
"04.01.2024 08:15 - 04.01.2024 08:30","61445","63476"
"04.01.2024 08:30 - 04.01.2024 08:45","62027","63936"
"04.01.2024 08:45 - 04.01.2024 09:00","62223","63698"
"04.01.2024 09:00 - 04.01.2024 09:15","62495","64206"
"04.01.2024 09:15 - 04.01.2024 09:30","62931","64727"
"04.01.2024 09:30 - 04.01.2024 09:45","63567","65213"
"04.01.2024 09:45 - 04.01.2024 10:00","63778","65378"
"04.01.2024 10:00 - 04.01.2024 10:15","64091","65669"
"04.01.2024 10:15 - 04.01.2024 10:30","64087","65877"
"04.01.2024 10:30 - 04.01.2024 10:45","64397","66217"
"04.01.2024 10:45 - 04.01.2024 11:00","64514","66284"
"04.01.2024 11:00 - 04.01.2024 11:15","64993","66076"
"04.01.2024 11:15 - 04.01.2024 11:30","65187","66189"
"04.01.2024 11:30 - 04.01.2024 11:45","65241","66363"
"04.01.2024 11:45 - 04.01.2024 12:00","65204","66224"
"04.01.2024 12:00 - 04.01.2024 12:15","65262","66335"
"04.01.2024 12:15 - 04.01.2024 12:30","65086","66394"
"04.01.2024 12:30 - 04.01.2024 12:45","65037","66205"
"04.01.2024 12:45 - 04.01.2024 13:00","64989","66047"
"04.01.2024 13:00 - 04.01.2024 13:15","64925","66467"
"04.01.2024 13:15 - 04.01.2024 13:30","64610","65699"
"04.01.2024 13:30 - 04.01.2024 13:45","64069","64834"
"04.01.2024 13:45 - 04.01.2024 14:00","63426","64439"
