"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"07.01.2024 10:00 - 07.01.2024 11:00","20534","19807"
"07.01.2024 11:00 - 07.01.2024 12:00","21083","20460"
"07.01.2024 12:00 - 07.01.2024 13:00","21385","20701"
"07.01.2024 13:00 - 07.01.2024 14:00","21554","20969"
"07.01.2024 14:00 - 07.01.2024 15:00","21259","20649"
"07.01.2024 15:00 - 07.01.2024 16:00","20997","20467"
"07.01.2024 16:00 - 07.01.2024 17:00","21641","21025"
"07.01.2024 17:00 - 07.01.2024 18:00","22064","21256"
"07.01.2024 18:00 - 07.01.2024 19:00","22067","21490"
"07.01.2024 19:00 - 07.01.2024 20:00","22066","21570"
"07.01.2024 20:00 - 07.01.2024 21:00","21625","21186"
"07.01.2024 21:00 - 07.01.2024 22:00","20717","20235"
"07.01.2024 22:00 - 07.01.2024 23:00","19969","19441"
"07.01.2024 23:00 - 08.01.2024 00:00","18979","18291"
"08.01.2024 00:00 - 08.01.2024 01:00","17718","17484"
"08.01.2024 01:00 - 08.01.2024 02:00","17365","17180"
"08.01.2024 02:00 - 08.01.2024 03:00","17113","16919"
"08.01.2024 03:00 - 08.01.2024 04:00","17314","17042"
"08.01.2024 04:00 - 08.01.2024 05:00","17966","17598"
"08.01.2024 05:00 - 08.01.2024 06:00","19973","18830"
"08.01.2024 06:00 - 08.01.2024 07:00","23632","22135"
"08.01.2024 07:00 - 08.01.2024 08:00","25039","24658"
"08.01.2024 08:00 - 08.01.2024 09:00","26047","25977"
"08.01.2024 09:00 - 08.01.2024 10:00","25937","26662"
"08.01.2024 10:00 - 08.01.2024 11:00","25842","26831"
"08.01.2024 11:00 - 08.01.2024 12:00","25759","27030"
"08.01.2024 12:00 - 08.01.2024 13:00","25925","26985"
"08.01.2024 13:00 - 08.01.2024 14:00","26171","26930"
"08.01.2024 14:00 - 08.01.2024 15:00","25771","26536"
"08.01.2024 15:00 - 08.01.2024 16:00","25837","26455"
"08.01.2024 16:00 - 08.01.2024 17:00","26647","27080"
"08.01.2024 17:00 - 08.01.2024 18:00","26654","27106"
"08.01.2024 18:00 - 08.01.2024 19:00","26221","26694"
"08.01.2024 19:00 - 08.01.2024 20:00","26191","26546"
"08.01.2024 20:00 - 08.01.2024 21:00","25760","26007"
"08.01.2024 21:00 - 08.01.2024 22:00","24426","24547"
"08.01.2024 22:00 - 08.01.2024 23:00","22788","23091"
"08.01.2024 23:00 - 09.01.2024 00:00","21496","21709"
"09.01.2024 00:00 - 09.01.2024 01:00","20897","20706"
"09.01.2024 01:00 - 09.01.2024 02:00","20337","20274"
"09.01.2024 02:00 - 09.01.2024 03:00","19910","20007"
"09.01.2024 03:00 - 09.01.2024 04:00","19968","19947"
"09.01.2024 04:00 - 09.01.2024 05:00","20308","20348"
"09.01.2024 05:00 - 09.01.2024 06:00","21138","21300"
"09.01.2024 06:00 - 09.01.2024 07:00","24154","24176"
"09.01.2024 07:00 - 09.01.2024 08:00","26076","26406"
"09.01.2024 08:00 - 09.01.2024 09:00","27503","27562"
"09.01.2024 09:00 - 09.01.2024 10:00","26112","28272"
"09.01.2024 10:00 - 09.01.2024 11:00","25879","28304"
"09.01.2024 11:00 - 09.01.2024 12:00","25804","28050"
"09.01.2024 12:00 - 09.01.2024 13:00","25839","27796"
"09.01.2024 13:00 - 09.01.2024 14:00","26113","27664"
"09.01.2024 14:00 - 09.01.2024 15:00","25781","26987"
"09.01.2024 15:00 - 09.01.2024 16:00","26050","26769"
"09.01.2024 16:00 - 09.01.2024 17:00","26715","27442"
"09.01.2024 17:00 - 09.01.2024 18:00","26705","27610"
"09.01.2024 18:00 - 09.01.2024 19:00","26299","27337"
"09.01.2024 19:00 - 09.01.2024 20:00","26142","27116"
"09.01.2024 20:00 - 09.01.2024 21:00","25635","26573"
"09.01.2024 21:00 - 09.01.2024 22:00","24430","24968"
"09.01.2024 22:00 - 09.01.2024 23:00","22724","23410"
"09.01.2024 23:00 - 10.01.2024 00:00","21468","21911"
"10.01.2024 00:00 - 10.01.2024 01:00","20376","20831"
"10.01.2024 01:00 - 10.01.2024 02:00","19873","20302"
"10.01.2024 02:00 - 10.01.2024 03:00","19572","20091"
"10.01.2024 03:00 - 10.01.2024 04:00","19620","20146"
"10.01.2024 04:00 - 10.01.2024 05:00","20222","20592"
"10.01.2024 05:00 - 10.01.2024 06:00","21526","21543"
"10.01.2024 06:00 - 10.01.2024 07:00","24783","24494"
"10.01.2024 07:00 - 10.01.2024 08:00","25882","26538"
"10.01.2024 08:00 - 10.01.2024 09:00","26797","27583"
"10.01.2024 09:00 - 10.01.2024 10:00","26885","28118"
"10.01.2024 10:00 - 10.01.2024 11:00","26870","27984"
"10.01.2024 11:00 - 10.01.2024 12:00","26808","27928"
"10.01.2024 12:00 - 10.01.2024 13:00","26620","27685"
"10.01.2024 13:00 - 10.01.2024 14:00","26792","27423"
"10.01.2024 14:00 - 10.01.2024 15:00","26232","26824"
"10.01.2024 15:00 - 10.01.2024 16:00","26372","26790"
"10.01.2024 16:00 - 10.01.2024 17:00","26865","27385"
"10.01.2024 17:00 - 10.01.2024 18:00","26848","27457"
"10.01.2024 18:00 - 10.01.2024 19:00","26432","27136"
"10.01.2024 19:00 - 10.01.2024 20:00","26266","26989"
"10.01.2024 20:00 - 10.01.2024 21:00","25747","26167"
"10.01.2024 21:00 - 10.01.2024 22:00","24519","24611"
"10.01.2024 22:00 - 10.01.2024 23:00","22635","22920"
"10.01.2024 23:00 - 11.01.2024 00:00","21350","21523"
"11.01.2024 00:00 - 11.01.2024 01:00","20453","20544"
"11.01.2024 01:00 - 11.01.2024 02:00","19582","20020"
"11.01.2024 02:00 - 11.01.2024 03:00","19266","19752"
"11.01.2024 03:00 - 11.01.2024 04:00","19302","19786"
"11.01.2024 04:00 - 11.01.2024 05:00","19893","20182"
"11.01.2024 05:00 - 11.01.2024 06:00","21289","21080"
"11.01.2024 06:00 - 11.01.2024 07:00","24535","23843"
"11.01.2024 07:00 - 11.01.2024 08:00","25780","25810"
"11.01.2024 08:00 - 11.01.2024 09:00","26727","26795"
"11.01.2024 09:00 - 11.01.2024 10:00","26939","27366"
"11.01.2024 10:00 - 11.01.2024 11:00","27076","27464"
"11.01.2024 11:00 - 11.01.2024 12:00","27157","27558"
"11.01.2024 12:00 - 11.01.2024 13:00","27249","27569"
"11.01.2024 13:00 - 11.01.2024 14:00","27313","27337"
"11.01.2024 14:00 - 11.01.2024 15:00","26454","26726"
"11.01.2024 15:00 - 11.01.2024 16:00","26416","26458"
"11.01.2024 16:00 - 11.01.2024 17:00","26824","26961"
"11.01.2024 17:00 - 11.01.2024 18:00","26588","26888"
"11.01.2024 18:00 - 11.01.2024 19:00","26169","26504"
"11.01.2024 19:00 - 11.01.2024 20:00","26061","26297"
"11.01.2024 20:00 - 11.01.2024 21:00","25606","25590"
"11.01.2024 21:00 - 11.01.2024 22:00","24450","23948"
"11.01.2024 22:00 - 11.01.2024 23:00","22643","22193"
"11.01.2024 23:00 - 12.01.2024 00:00","21430","20878"
"12.01.2024 00:00 - 12.01.2024 01:00","20567","19766"
"12.01.2024 01:00 - 12.01.2024 02:00","19942","19273"
"12.01.2024 02:00 - 12.01.2024 03:00","19661","19032"
"12.01.2024 03:00 - 12.01.2024 04:00","19726","19061"
"12.01.2024 04:00 - 12.01.2024 05:00","20335","19514"
"12.01.2024 05:00 - 12.01.2024 06:00","21736","20517"
"12.01.2024 06:00 - 12.01.2024 07:00","24774","23333"
"12.01.2024 07:00 - 12.01.2024 08:00","26145","25282"
"12.01.2024 08:00 - 12.01.2024 09:00","27089","26278"
"12.01.2024 09:00 - 12.01.2024 10:00","27211","26765"
"12.01.2024 10:00 - 12.01.2024 11:00","26993","26900"
"12.01.2024 11:00 - 12.01.2024 12:00","26904","26984"
"12.01.2024 12:00 - 12.01.2024 13:00","26693","26791"
"12.01.2024 13:00 - 12.01.2024 14:00","26861","26811"
"12.01.2024 14:00 - 12.01.2024 15:00","25999","26240"
"12.01.2024 15:00 - 12.01.2024 16:00","25760","25988"
"12.01.2024 16:00 - 12.01.2024 17:00","26540","26377"
"12.01.2024 17:00 - 12.01.2024 18:00","26354","26454"
"12.01.2024 18:00 - 12.01.2024 19:00","25880","26028"
"12.01.2024 19:00 - 12.01.2024 20:00","25719","25583"
"12.01.2024 20:00 - 12.01.2024 21:00","25217","24816"
"12.01.2024 21:00 - 12.01.2024 22:00","23925","23375"
"12.01.2024 22:00 - 12.01.2024 23:00","22038","21844"
"12.01.2024 23:00 - 13.01.2024 00:00","20810","20607"
"13.01.2024 00:00 - 13.01.2024 01:00","19588","19527"
"13.01.2024 01:00 - 13.01.2024 02:00","18865","18703"
"13.01.2024 02:00 - 13.01.2024 03:00","18245","18262"
"13.01.2024 03:00 - 13.01.2024 04:00","18025","18137"
"13.01.2024 04:00 - 13.01.2024 05:00","18206","18266"
"13.01.2024 05:00 - 13.01.2024 06:00","18486","18437"
"13.01.2024 06:00 - 13.01.2024 07:00","19599","19302"
"13.01.2024 07:00 - 13.01.2024 08:00","20397","20308"
"13.01.2024 08:00 - 13.01.2024 09:00","21673","21531"
"13.01.2024 09:00 - 13.01.2024 10:00","22221","22797"
"13.01.2024 10:00 - 13.01.2024 11:00","22506","23507"
"13.01.2024 11:00 - 13.01.2024 12:00","22507","23785"
"13.01.2024 12:00 - 13.01.2024 13:00","22285","23896"
"13.01.2024 13:00 - 13.01.2024 14:00","22266","23825"
"13.01.2024 14:00 - 13.01.2024 15:00","21496","23155"
"13.01.2024 15:00 - 13.01.2024 16:00","21274","22834"
"13.01.2024 16:00 - 13.01.2024 17:00","21940","23250"
"13.01.2024 17:00 - 13.01.2024 18:00","21904","23127"
"13.01.2024 18:00 - 13.01.2024 19:00","21628","22841"
"13.01.2024 19:00 - 13.01.2024 20:00","21412","22400"
"13.01.2024 20:00 - 13.01.2024 21:00","20803","21846"
"13.01.2024 21:00 - 13.01.2024 22:00","19801","20744"
"13.01.2024 22:00 - 13.01.2024 23:00","18601","19549"
"13.01.2024 23:00 - 14.01.2024 00:00","17651","18385"
"14.01.2024 00:00 - 14.01.2024 01:00","16451","17353"
"14.01.2024 01:00 - 14.01.2024 02:00","15751","16715"
"14.01.2024 02:00 - 14.01.2024 03:00","15301","16311"
"14.01.2024 03:00 - 14.01.2024 04:00","15101","16109"
"14.01.2024 04:00 - 14.01.2024 05:00","15211","16142"
"14.01.2024 05:00 - 14.01.2024 06:00","15423","16224"
"14.01.2024 06:00 - 14.01.2024 07:00","15935","16679"
"14.01.2024 07:00 - 14.01.2024 08:00","16299","17254"
"14.01.2024 08:00 - 14.01.2024 09:00","17538","18014"
"14.01.2024 09:00 - 14.01.2024 10:00","18411","19215"
"14.01.2024 10:00 - 14.01.2024 11:00","19171","20084"
"14.01.2024 11:00 - 14.01.2024 12:00","19387","20568"
"14.01.2024 12:00 - 14.01.2024 13:00","19732","20932"
"14.01.2024 13:00 - 14.01.2024 14:00","19817","20924"
"14.01.2024 14:00 - 14.01.2024 15:00","19890","20634"
"14.01.2024 15:00 - 14.01.2024 16:00","19634","20351"
"14.01.2024 16:00 - 14.01.2024 17:00","20462","20773"
"14.01.2024 17:00 - 14.01.2024 18:00","20471","21014"
"14.01.2024 18:00 - 14.01.2024 19:00","20471","21089"
"14.01.2024 19:00 - 14.01.2024 20:00","20460","21022"
"14.01.2024 20:00 - 14.01.2024 21:00","20397","20427"
"14.01.2024 21:00 - 14.01.2024 22:00","19533","19540"
"14.01.2024 22:00 - 14.01.2024 23:00","18720","18658"
"14.01.2024 23:00 - 15.01.2024 00:00","17659","17728"
"15.01.2024 00:00 - 15.01.2024 01:00","16795","16969"
"15.01.2024 01:00 - 15.01.2024 02:00","16432","16417"
"15.01.2024 02:00 - 15.01.2024 03:00","16170","16269"
"15.01.2024 03:00 - 15.01.2024 04:00","16360","16391"
"15.01.2024 04:00 - 15.01.2024 05:00","16998","16930"
"15.01.2024 05:00 - 15.01.2024 06:00","18985","18302"
"15.01.2024 06:00 - 15.01.2024 07:00","22367","21544"
"15.01.2024 07:00 - 15.01.2024 08:00","23849","23666"
"15.01.2024 08:00 - 15.01.2024 09:00","24891","24882"
