"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"15.08.2024 00:15 - 15.08.2024 00:30","14400","14419"
"15.08.2024 00:30 - 15.08.2024 00:45","14100","14148"
"15.08.2024 00:45 - 15.08.2024 01:00","13950","14014"
"15.08.2024 01:00 - 15.08.2024 01:15","13800","13817"
"15.08.2024 01:15 - 15.08.2024 01:30","13650","13734"
"15.08.2024 01:30 - 15.08.2024 01:45","13550","13560"
"15.08.2024 01:45 - 15.08.2024 02:00","13450","13393"
"15.08.2024 02:00 - 15.08.2024 02:15","13350","13249"
"15.08.2024 02:15 - 15.08.2024 02:30","13250","13232"
"15.08.2024 02:30 - 15.08.2024 02:45","13150","13210"
"15.08.2024 02:45 - 15.08.2024 03:00","13100","13186"
"15.08.2024 03:00 - 15.08.2024 03:15","13050","13113"
"15.08.2024 03:15 - 15.08.2024 03:30","13000","13005"
"15.08.2024 03:30 - 15.08.2024 03:45","12950","13015"
"15.08.2024 03:45 - 15.08.2024 04:00","12900","12903"
"15.08.2024 04:00 - 15.08.2024 04:15","12900","12989"
"15.08.2024 04:15 - 15.08.2024 04:30","12900","13037"
"15.08.2024 04:30 - 15.08.2024 04:45","12900","12902"
"15.08.2024 04:45 - 15.08.2024 05:00","12750","12818"
"15.08.2024 05:00 - 15.08.2024 05:15","12500","12485"
"15.08.2024 05:15 - 15.08.2024 05:30","12050","12267"
"15.08.2024 05:30 - 15.08.2024 05:45","12000","12165"
"15.08.2024 05:45 - 15.08.2024 06:00","12000","12086"
"15.08.2024 06:00 - 15.08.2024 06:15","12000","12195"
"15.08.2024 06:15 - 15.08.2024 06:30","12200","12385"
"15.08.2024 06:30 - 15.08.2024 06:45","12400","12546"
"15.08.2024 06:45 - 15.08.2024 07:00","12600","12913"
"15.08.2024 07:00 - 15.08.2024 07:15","12800","13218"
"15.08.2024 07:15 - 15.08.2024 07:30","12950","13762"
"15.08.2024 07:30 - 15.08.2024 07:45","13150","13728"
"15.08.2024 07:45 - 15.08.2024 08:00","13400","14099"
"15.08.2024 08:00 - 15.08.2024 08:15","13650","14160"
"15.08.2024 08:15 - 15.08.2024 08:30","13850","14495"
"15.08.2024 08:30 - 15.08.2024 08:45","14100","14719"
"15.08.2024 08:45 - 15.08.2024 09:00","14250","14805"
"15.08.2024 09:00 - 15.08.2024 09:15","14450","14805"
"15.08.2024 09:15 - 15.08.2024 09:30","14600","14685"
"15.08.2024 09:30 - 15.08.2024 09:45","14750","14673"
"15.08.2024 09:45 - 15.08.2024 10:00","14850","14824"
"15.08.2024 10:00 - 15.08.2024 10:15","14950","14782"
"15.08.2024 10:15 - 15.08.2024 10:30","15050","15047"
"15.08.2024 10:30 - 15.08.2024 10:45","15150","15038"
"15.08.2024 10:45 - 15.08.2024 11:00","15200","14999"
"15.08.2024 11:00 - 15.08.2024 11:15","15250","14963"
"15.08.2024 11:15 - 15.08.2024 11:30","15250","14870"
"15.08.2024 11:30 - 15.08.2024 11:45","15300","14922"
"15.08.2024 11:45 - 15.08.2024 12:00","15350","14777"
"15.08.2024 12:00 - 15.08.2024 12:15","15400","14994"
"15.08.2024 12:15 - 15.08.2024 12:30","15400","15067"
"15.08.2024 12:30 - 15.08.2024 12:45","15400","14879"
"15.08.2024 12:45 - 15.08.2024 13:00","15400","14676"
"15.08.2024 13:00 - 15.08.2024 13:15","15450","14726"
"15.08.2024 13:15 - 15.08.2024 13:30","15450","14908"
"15.08.2024 13:30 - 15.08.2024 13:45","15450","14875"
"15.08.2024 13:45 - 15.08.2024 14:00","15450","14889"
"15.08.2024 14:00 - 15.08.2024 14:15","15450","15140"
"15.08.2024 14:15 - 15.08.2024 14:30","15450","15428"
"15.08.2024 14:30 - 15.08.2024 14:45","15450","15228"
"15.08.2024 14:45 - 15.08.2024 15:00","15450","15655"
"15.08.2024 15:00 - 15.08.2024 15:15","15400","15720"
"15.08.2024 15:15 - 15.08.2024 15:30","15350","15853"
"15.08.2024 15:30 - 15.08.2024 15:45","15350","15749"
"15.08.2024 15:45 - 15.08.2024 16:00","15350","15233"
"15.08.2024 16:00 - 15.08.2024 16:15","15350","15799"
"15.08.2024 16:15 - 15.08.2024 16:30","15400","16068"
"15.08.2024 16:30 - 15.08.2024 16:45","15500","16305"
"15.08.2024 16:45 - 15.08.2024 17:00","15650","15938"
"15.08.2024 17:00 - 15.08.2024 17:15","15700","16300"
"15.08.2024 17:15 - 15.08.2024 17:30","15750","16413"
"15.08.2024 17:30 - 15.08.2024 17:45","15800","16380"
"15.08.2024 17:45 - 15.08.2024 18:00","15900","16322"
"15.08.2024 18:00 - 15.08.2024 18:15","15950","16530"
"15.08.2024 18:15 - 15.08.2024 18:30","15950","16413"
"15.08.2024 18:30 - 15.08.2024 18:45","16000","16465"
"15.08.2024 18:45 - 15.08.2024 19:00","16050","16617"
"15.08.2024 19:00 - 15.08.2024 19:15","16100","16492"
"15.08.2024 19:15 - 15.08.2024 19:30","16150","16548"
"15.08.2024 19:30 - 15.08.2024 19:45","16200","16434"
"15.08.2024 19:45 - 15.08.2024 20:00","16350","16323"
"15.08.2024 20:00 - 15.08.2024 20:15","16550","16510"
"15.08.2024 20:15 - 15.08.2024 20:30","16750","16746"
"15.08.2024 20:30 - 15.08.2024 20:45","16750","16821"
"15.08.2024 20:45 - 15.08.2024 21:00","16750","16811"
"15.08.2024 21:00 - 15.08.2024 21:15","16650","16705"
"15.08.2024 21:15 - 15.08.2024 21:30","16450","16573"
"15.08.2024 21:30 - 15.08.2024 21:45","16200","16230"
"15.08.2024 21:45 - 15.08.2024 22:00","15900","16050"
"15.08.2024 22:00 - 15.08.2024 22:15","15650","15807"
"15.08.2024 22:15 - 15.08.2024 22:30","15400","15639"
"15.08.2024 22:30 - 15.08.2024 22:45","15150","15281"
"15.08.2024 22:45 - 15.08.2024 23:00","14800","15137"
"15.08.2024 23:00 - 15.08.2024 23:15","14500","14790"
"15.08.2024 23:15 - 15.08.2024 23:30","14150","14562"
"15.08.2024 23:30 - 15.08.2024 23:45","13900","14196"
"15.08.2024 23:45 - 16.08.2024 00:00","13600","13877"
"16.08.2024 00:00 - 16.08.2024 00:15","13500","13386"
"16.08.2024 00:15 - 16.08.2024 00:30","13350","13126"
"16.08.2024 00:30 - 16.08.2024 00:45","13200","12473"
"16.08.2024 00:45 - 16.08.2024 01:00","13050","13037"
"16.08.2024 01:00 - 16.08.2024 01:15","12950","12877"
"16.08.2024 01:15 - 16.08.2024 01:30","12850","12811"
"16.08.2024 01:30 - 16.08.2024 01:45","12750","12718"
"16.08.2024 01:45 - 16.08.2024 02:00","12700","12714"
"16.08.2024 02:00 - 16.08.2024 02:15","12650","12579"
"16.08.2024 02:15 - 16.08.2024 02:30","12600","12693"
"16.08.2024 02:30 - 16.08.2024 02:45","12550","12541"
"16.08.2024 02:45 - 16.08.2024 03:00","12550","12539"
"16.08.2024 03:00 - 16.08.2024 03:15","12550","12510"
"16.08.2024 03:15 - 16.08.2024 03:30","12550","12493"
"16.08.2024 03:30 - 16.08.2024 03:45","12550","12530"
"16.08.2024 03:45 - 16.08.2024 04:00","12600","12585"
"16.08.2024 04:00 - 16.08.2024 04:15","12650","12589"
"16.08.2024 04:15 - 16.08.2024 04:30","12700","12720"
"16.08.2024 04:30 - 16.08.2024 04:45","12700","12713"
"16.08.2024 04:45 - 16.08.2024 05:00","12700","12740"
"16.08.2024 05:00 - 16.08.2024 05:15","12700","12758"
"16.08.2024 05:15 - 16.08.2024 05:30","12750","12825"
"16.08.2024 05:30 - 16.08.2024 05:45","12950","13145"
"16.08.2024 05:45 - 16.08.2024 06:00","13500","13583"
"16.08.2024 06:00 - 16.08.2024 06:15","14200","14119"
"16.08.2024 06:15 - 16.08.2024 06:30","14600","14554"
"16.08.2024 06:30 - 16.08.2024 06:45","15000","14935"
"16.08.2024 06:45 - 16.08.2024 07:00","15350","15444"
"16.08.2024 07:00 - 16.08.2024 07:15","15750","15921"
"16.08.2024 07:15 - 16.08.2024 07:30","16100","16131"
"16.08.2024 07:30 - 16.08.2024 07:45","16400","16392"
"16.08.2024 07:45 - 16.08.2024 08:00","16750","16811"
"16.08.2024 08:00 - 16.08.2024 08:15","17050","17160"
"16.08.2024 08:15 - 16.08.2024 08:30","17400","17398"
"16.08.2024 08:30 - 16.08.2024 08:45","17700","17644"
"16.08.2024 08:45 - 16.08.2024 09:00","17950","17743"
"16.08.2024 09:00 - 16.08.2024 09:15","18150","18159"
"16.08.2024 09:15 - 16.08.2024 09:30","18300","18213"
"16.08.2024 09:30 - 16.08.2024 09:45","18400","18057"
"16.08.2024 09:45 - 16.08.2024 10:00","18500","18054"
"16.08.2024 10:00 - 16.08.2024 10:15","18600","18101"
"16.08.2024 10:15 - 16.08.2024 10:30","18650","18235"
"16.08.2024 10:30 - 16.08.2024 10:45","18700","18306"
"16.08.2024 10:45 - 16.08.2024 11:00","18700","17730"
"16.08.2024 11:00 - 16.08.2024 11:15","18700","17511"
"16.08.2024 11:15 - 16.08.2024 11:30","18700","17704"
"16.08.2024 11:30 - 16.08.2024 11:45","18700","17534"
"16.08.2024 11:45 - 16.08.2024 12:00","18700","17852"
"16.08.2024 12:00 - 16.08.2024 12:15","18700","17874"
"16.08.2024 12:15 - 16.08.2024 12:30","18700","17662"
"16.08.2024 12:30 - 16.08.2024 12:45","18700","17860"
"16.08.2024 12:45 - 16.08.2024 13:00","18650","18279"
"16.08.2024 13:00 - 16.08.2024 13:15","18600","18206"
"16.08.2024 13:15 - 16.08.2024 13:30","18500","18304"
"16.08.2024 13:30 - 16.08.2024 13:45","18350","17941"
"16.08.2024 13:45 - 16.08.2024 14:00","18200","18141"
"16.08.2024 14:00 - 16.08.2024 14:15","18100","17814"
"16.08.2024 14:15 - 16.08.2024 14:30","18050","18375"
"16.08.2024 14:30 - 16.08.2024 14:45","18000","18397"
"16.08.2024 14:45 - 16.08.2024 15:00","17900","18503"
"16.08.2024 15:00 - 16.08.2024 15:15","17850","18799"
"16.08.2024 15:15 - 16.08.2024 15:30","17850","18596"
"16.08.2024 15:30 - 16.08.2024 15:45","17800","18877"
"16.08.2024 15:45 - 16.08.2024 16:00","17750","18309"
"16.08.2024 16:00 - 16.08.2024 16:15","17700","18362"
"16.08.2024 16:15 - 16.08.2024 16:30","17700","18521"
"16.08.2024 16:30 - 16.08.2024 16:45","17700","19174"
"16.08.2024 16:45 - 16.08.2024 17:00","17700","19198"
"16.08.2024 17:00 - 16.08.2024 17:15","17700","19198"
"16.08.2024 17:15 - 16.08.2024 17:30","17700","19130"
"16.08.2024 17:30 - 16.08.2024 17:45","17700","19455"
"16.08.2024 17:45 - 16.08.2024 18:00","17700","19485"
"16.08.2024 18:00 - 16.08.2024 18:15","17650","19445"
"16.08.2024 18:15 - 16.08.2024 18:30","17650","19504"
"16.08.2024 18:30 - 16.08.2024 18:45","17650","19538"
"16.08.2024 18:45 - 16.08.2024 19:00","17650","19202"
"16.08.2024 19:00 - 16.08.2024 19:15","17650","18950"
"16.08.2024 19:15 - 16.08.2024 19:30","17700","18891"
"16.08.2024 19:30 - 16.08.2024 19:45","17800","18754"
"16.08.2024 19:45 - 16.08.2024 20:00","17900","18650"
"16.08.2024 20:00 - 16.08.2024 20:15","18050","18725"
"16.08.2024 20:15 - 16.08.2024 20:30","18200","18906"
"16.08.2024 20:30 - 16.08.2024 20:45","18200","19091"
"16.08.2024 20:45 - 16.08.2024 21:00","18100","18895"
"16.08.2024 21:00 - 16.08.2024 21:15","17850","18616"
"16.08.2024 21:15 - 16.08.2024 21:30","17500","18246"
"16.08.2024 21:30 - 16.08.2024 21:45","17200","17788"
"16.08.2024 21:45 - 16.08.2024 22:00","16900","17349"
"16.08.2024 22:00 - 16.08.2024 22:15","16550","17196"
"16.08.2024 22:15 - 16.08.2024 22:30","16200","16884"
"16.08.2024 22:30 - 16.08.2024 22:45","15900","16658"
"16.08.2024 22:45 - 16.08.2024 23:00","15550","16387"
"16.08.2024 23:00 - 16.08.2024 23:15","15200","15931"
"16.08.2024 23:15 - 16.08.2024 23:30","14900","15632"
"16.08.2024 23:30 - 16.08.2024 23:45","14550","15343"
"16.08.2024 23:45 - 17.08.2024 00:00","14250","15073"
"17.08.2024 00:00 - 17.08.2024 00:15","13700","14897"
"17.08.2024 00:15 - 17.08.2024 00:30","13400","14621"
"17.08.2024 00:30 - 17.08.2024 00:45","13200","14371"
"17.08.2024 00:45 - 17.08.2024 01:00","13050","13988"
"17.08.2024 01:00 - 17.08.2024 01:15","12900","13927"
"17.08.2024 01:15 - 17.08.2024 01:30","12750","13945"
"17.08.2024 01:30 - 17.08.2024 01:45","12650","13778"
"17.08.2024 01:45 - 17.08.2024 02:00","12550","13744"
"17.08.2024 02:00 - 17.08.2024 02:15","12500","13448"
"17.08.2024 02:15 - 17.08.2024 02:30","12500","13387"
"17.08.2024 02:30 - 17.08.2024 02:45","12500","13268"
"17.08.2024 02:45 - 17.08.2024 03:00","12500","13349"
"17.08.2024 03:00 - 17.08.2024 03:15","12500","13261"
"17.08.2024 03:15 - 17.08.2024 03:30","12500","13301"
"17.08.2024 03:30 - 17.08.2024 03:45","12500","13228"
"17.08.2024 03:45 - 17.08.2024 04:00","12500","13197"
"17.08.2024 04:00 - 17.08.2024 04:15","12500","13343"
"17.08.2024 04:15 - 17.08.2024 04:30","12500","13384"
"17.08.2024 04:30 - 17.08.2024 04:45","12500","13345"
"17.08.2024 04:45 - 17.08.2024 05:00","12450","13253"
"17.08.2024 05:00 - 17.08.2024 05:15","12350","13218"
"17.08.2024 05:15 - 17.08.2024 05:30","12250","13254"
"17.08.2024 05:30 - 17.08.2024 05:45","12250","13231"
"17.08.2024 05:45 - 17.08.2024 06:00","12650","13387"
"17.08.2024 06:00 - 17.08.2024 06:15","13400","13745"
"17.08.2024 06:15 - 17.08.2024 06:30","13800","13836"
"17.08.2024 06:30 - 17.08.2024 06:45","14200","14192"
"17.08.2024 06:45 - 17.08.2024 07:00","14550","14494"
"17.08.2024 07:00 - 17.08.2024 07:15","14900","14725"
"17.08.2024 07:15 - 17.08.2024 07:30","15250","15286"
"17.08.2024 07:30 - 17.08.2024 07:45","15600","15687"
"17.08.2024 07:45 - 17.08.2024 08:00","15900","15890"
"17.08.2024 08:00 - 17.08.2024 08:15","16200","16280"
"17.08.2024 08:15 - 17.08.2024 08:30","16550","16509"
"17.08.2024 08:30 - 17.08.2024 08:45","16850","16755"
"17.08.2024 08:45 - 17.08.2024 09:00","17250","17015"
"17.08.2024 09:00 - 17.08.2024 09:15","17750","17455"
"17.08.2024 09:15 - 17.08.2024 09:30","18000","17432"
"17.08.2024 09:30 - 17.08.2024 09:45","18200","17315"
"17.08.2024 09:45 - 17.08.2024 10:00","18250","17654"
"17.08.2024 10:00 - 17.08.2024 10:15","18300","17726"
"17.08.2024 10:15 - 17.08.2024 10:30","18350","17784"
"17.08.2024 10:30 - 17.08.2024 10:45","18400","17735"
"17.08.2024 10:45 - 17.08.2024 11:00","18400","17715"
"17.08.2024 11:00 - 17.08.2024 11:15","18400","17818"
"17.08.2024 11:15 - 17.08.2024 11:30","18400","17600"
"17.08.2024 11:30 - 17.08.2024 11:45","18400","17593"
"17.08.2024 11:45 - 17.08.2024 12:00","18400","17616"
"17.08.2024 12:00 - 17.08.2024 12:15","18400","17520"
"17.08.2024 12:15 - 17.08.2024 12:30","18400","17485"
"17.08.2024 12:30 - 17.08.2024 12:45","18400","17660"
"17.08.2024 12:45 - 17.08.2024 13:00","18400","17418"
"17.08.2024 13:00 - 17.08.2024 13:15","18400","17521"
"17.08.2024 13:15 - 17.08.2024 13:30","18400","17591"
"17.08.2024 13:30 - 17.08.2024 13:45","18400","17520"
"17.08.2024 13:45 - 17.08.2024 14:00","18350","17309"
"17.08.2024 14:00 - 17.08.2024 14:15","18300","17262"
"17.08.2024 14:15 - 17.08.2024 14:30","18250","17229"
"17.08.2024 14:30 - 17.08.2024 14:45","18200","17688"
"17.08.2024 14:45 - 17.08.2024 15:00","18150","17722"
"17.08.2024 15:00 - 17.08.2024 15:15","18100","17316"
"17.08.2024 15:15 - 17.08.2024 15:30","18050","17417"
"17.08.2024 15:30 - 17.08.2024 15:45","18000","17177"
"17.08.2024 15:45 - 17.08.2024 16:00","17900","17212"
"17.08.2024 16:00 - 17.08.2024 16:15","17850","17171"
"17.08.2024 16:15 - 17.08.2024 16:30","17800","17546"
"17.08.2024 16:30 - 17.08.2024 16:45","17800","17561"
"17.08.2024 16:45 - 17.08.2024 17:00","17800","17521"
"17.08.2024 17:00 - 17.08.2024 17:15","17800","17642"
"17.08.2024 17:15 - 17.08.2024 17:30","17800","17643"
"17.08.2024 17:30 - 17.08.2024 17:45","17800","17460"
"17.08.2024 17:45 - 17.08.2024 18:00","17800","17433"
"17.08.2024 18:00 - 17.08.2024 18:15","17800","17421"
"17.08.2024 18:15 - 17.08.2024 18:30","17800","17404"
"17.08.2024 18:30 - 17.08.2024 18:45","17800","17327"
"17.08.2024 18:45 - 17.08.2024 19:00","17800","17328"
"17.08.2024 19:00 - 17.08.2024 19:15","17800","17318"
"17.08.2024 19:15 - 17.08.2024 19:30","17800","17269"
"17.08.2024 19:30 - 17.08.2024 19:45","17900","17347"
"17.08.2024 19:45 - 17.08.2024 20:00","17900","17349"
"17.08.2024 20:00 - 17.08.2024 20:15","18000","17282"
"17.08.2024 20:15 - 17.08.2024 20:30","18100","17458"
"17.08.2024 20:30 - 17.08.2024 20:45","18100","17561"
"17.08.2024 20:45 - 17.08.2024 21:00","18000","17421"
"17.08.2024 21:00 - 17.08.2024 21:15","17600","17162"
"17.08.2024 21:15 - 17.08.2024 21:30","17250","16815"
"17.08.2024 21:30 - 17.08.2024 21:45","16950","16575"
"17.08.2024 21:45 - 17.08.2024 22:00","16650","16196"
"17.08.2024 22:00 - 17.08.2024 22:15","16300","15946"
"17.08.2024 22:15 - 17.08.2024 22:30","15950","15775"
"17.08.2024 22:30 - 17.08.2024 22:45","15650","15499"
"17.08.2024 22:45 - 17.08.2024 23:00","15300","15189"
"17.08.2024 23:00 - 17.08.2024 23:15","14900","14759"
"17.08.2024 23:15 - 17.08.2024 23:30","14550","14570"
"17.08.2024 23:30 - 17.08.2024 23:45","14300","14362"
"17.08.2024 23:45 - 18.08.2024 00:00","13900","14065"
"18.08.2024 00:00 - 18.08.2024 00:15","13600","13755"
"18.08.2024 00:15 - 18.08.2024 00:30","13450","13469"
"18.08.2024 00:30 - 18.08.2024 00:45","13300","13330"
"18.08.2024 00:45 - 18.08.2024 01:00","13150","13351"
"18.08.2024 01:00 - 18.08.2024 01:15","13050","12959"
"18.08.2024 01:15 - 18.08.2024 01:30","12950","12838"
"18.08.2024 01:30 - 18.08.2024 01:45","12850","12772"
"18.08.2024 01:45 - 18.08.2024 02:00","12750","12710"
"18.08.2024 02:00 - 18.08.2024 02:15","12650","12712"
"18.08.2024 02:15 - 18.08.2024 02:30","12550","12499"
"18.08.2024 02:30 - 18.08.2024 02:45","12450","12602"
"18.08.2024 02:45 - 18.08.2024 03:00","12400","12463"
"18.08.2024 03:00 - 18.08.2024 03:15","12350","12386"
"18.08.2024 03:15 - 18.08.2024 03:30","12300","12325"
"18.08.2024 03:30 - 18.08.2024 03:45","12250","12270"
"18.08.2024 03:45 - 18.08.2024 04:00","12150","12355"
"18.08.2024 04:00 - 18.08.2024 04:15","12150","12248"
"18.08.2024 04:15 - 18.08.2024 04:30","12150","12267"
"18.08.2024 04:30 - 18.08.2024 04:45","12150","12243"
"18.08.2024 04:45 - 18.08.2024 05:00","12150","12148"
"18.08.2024 05:00 - 18.08.2024 05:15","11950","12066"
"18.08.2024 05:15 - 18.08.2024 05:30","11650","12068"
"18.08.2024 05:30 - 18.08.2024 05:45","11600","12019"
"18.08.2024 05:45 - 18.08.2024 06:00","11600","12055"
"18.08.2024 06:00 - 18.08.2024 06:15","11800","12113"
"18.08.2024 06:15 - 18.08.2024 06:30","12050","12451"
"18.08.2024 06:30 - 18.08.2024 06:45","12300","12478"
"18.08.2024 06:45 - 18.08.2024 07:00","12600","12563"
"18.08.2024 07:00 - 18.08.2024 07:15","12900","12989"
"18.08.2024 07:15 - 18.08.2024 07:30","13250","13264"
"18.08.2024 07:30 - 18.08.2024 07:45","13500","13431"
"18.08.2024 07:45 - 18.08.2024 08:00","13750","13703"
"18.08.2024 08:00 - 18.08.2024 08:15","14000","14059"
"18.08.2024 08:15 - 18.08.2024 08:30","14350","14158"
"18.08.2024 08:30 - 18.08.2024 08:45","14650","14539"
"18.08.2024 08:45 - 18.08.2024 09:00","14900","14716"
"18.08.2024 09:00 - 18.08.2024 09:15","15050","14976"
"18.08.2024 09:15 - 18.08.2024 09:30","15150","15112"
"18.08.2024 09:30 - 18.08.2024 09:45","15200","15149"
"18.08.2024 09:45 - 18.08.2024 10:00","15200","15345"
"18.08.2024 10:00 - 18.08.2024 10:15","15250","15376"
"18.08.2024 10:15 - 18.08.2024 10:30","15300","15443"
"18.08.2024 10:30 - 18.08.2024 10:45","15350","15354"
"18.08.2024 10:45 - 18.08.2024 11:00","15350","15491"
"18.08.2024 11:00 - 18.08.2024 11:15","15350","15474"
"18.08.2024 11:15 - 18.08.2024 11:30","15350","15306"
"18.08.2024 11:30 - 18.08.2024 11:45","15350","15719"
"18.08.2024 11:45 - 18.08.2024 12:00","15350","15510"
"18.08.2024 12:00 - 18.08.2024 12:15","15450","15571"
"18.08.2024 12:15 - 18.08.2024 12:30","15500","15696"
"18.08.2024 12:30 - 18.08.2024 12:45","15500","15791"
"18.08.2024 12:45 - 18.08.2024 13:00","15500","15897"
"18.08.2024 13:00 - 18.08.2024 13:15","15500","15604"
"18.08.2024 13:15 - 18.08.2024 13:30","15500","16023"
"18.08.2024 13:30 - 18.08.2024 13:45","15500","15741"
"18.08.2024 13:45 - 18.08.2024 14:00","15500","15938"
"18.08.2024 14:00 - 18.08.2024 14:15","15500","16062"
"18.08.2024 14:15 - 18.08.2024 14:30","15550","15867"
"18.08.2024 14:30 - 18.08.2024 14:45","15600","15820"
"18.08.2024 14:45 - 18.08.2024 15:00","15650","15732"
"18.08.2024 15:00 - 18.08.2024 15:15","15750","15369"
"18.08.2024 15:15 - 18.08.2024 15:30","15900","15499"
"18.08.2024 15:30 - 18.08.2024 15:45","15950","15518"
"18.08.2024 15:45 - 18.08.2024 16:00","16000","15463"
"18.08.2024 16:00 - 18.08.2024 16:15","16050","15586"
"18.08.2024 16:15 - 18.08.2024 16:30","16150","15774"
"18.08.2024 16:30 - 18.08.2024 16:45","16300","15874"
"18.08.2024 16:45 - 18.08.2024 17:00","16350","15906"
"18.08.2024 17:00 - 18.08.2024 17:15","16400","16134"
"18.08.2024 17:15 - 18.08.2024 17:30","16450","16119"
"18.08.2024 17:30 - 18.08.2024 17:45","16600","16084"
"18.08.2024 17:45 - 18.08.2024 18:00","16750","16193"
"18.08.2024 18:00 - 18.08.2024 18:15","16750","16261"
"18.08.2024 18:15 - 18.08.2024 18:30","16750","16322"
"18.08.2024 18:30 - 18.08.2024 18:45","16750","16393"
"18.08.2024 18:45 - 18.08.2024 19:00","16800","16290"
"18.08.2024 19:00 - 18.08.2024 19:15","16800","16237"
"18.08.2024 19:15 - 18.08.2024 19:30","16800","16353"
"18.08.2024 19:30 - 18.08.2024 19:45","16800","16570"
"18.08.2024 19:45 - 18.08.2024 20:00","16800","16739"
"18.08.2024 20:00 - 18.08.2024 20:15","17000","16895"
"18.08.2024 20:15 - 18.08.2024 20:30","17050","16904"
"18.08.2024 20:30 - 18.08.2024 20:45","17050","17092"
"18.08.2024 20:45 - 18.08.2024 21:00","16950","17054"
"18.08.2024 21:00 - 18.08.2024 21:15","16850","16756"
"18.08.2024 21:15 - 18.08.2024 21:30","16700","16480"
"18.08.2024 21:30 - 18.08.2024 21:45","16450","16275"
"18.08.2024 21:45 - 18.08.2024 22:00","16200","16009"
"18.08.2024 22:00 - 18.08.2024 22:15","15950","15763"
"18.08.2024 22:15 - 18.08.2024 22:30","15750","15588"
"18.08.2024 22:30 - 18.08.2024 22:45","15500","15248"
"18.08.2024 22:45 - 18.08.2024 23:00","15200","14832"
"18.08.2024 23:00 - 18.08.2024 23:15","14900","14533"
"18.08.2024 23:15 - 18.08.2024 23:30","14600","14417"
"18.08.2024 23:30 - 18.08.2024 23:45","14350","13942"
"18.08.2024 23:45 - 19.08.2024 00:00","14050","13821"
"19.08.2024 00:00 - 19.08.2024 00:15","13700","13652"
"19.08.2024 00:15 - 19.08.2024 00:30","13450","13331"
"19.08.2024 00:30 - 19.08.2024 00:45","13350","13390"
"19.08.2024 00:45 - 19.08.2024 01:00","13250","13241"
"19.08.2024 01:00 - 19.08.2024 01:15","13100","12931"
"19.08.2024 01:15 - 19.08.2024 01:30","13000","12973"
"19.08.2024 01:30 - 19.08.2024 01:45","12950","12820"
"19.08.2024 01:45 - 19.08.2024 02:00","12850","12775"
"19.08.2024 02:00 - 19.08.2024 02:15","12800","12664"
"19.08.2024 02:15 - 19.08.2024 02:30","12800","12716"
"19.08.2024 02:30 - 19.08.2024 02:45","12800","12770"
"19.08.2024 02:45 - 19.08.2024 03:00","12800","12669"
"19.08.2024 03:00 - 19.08.2024 03:15","12800","12693"
"19.08.2024 03:15 - 19.08.2024 03:30","12800","12712"
"19.08.2024 03:30 - 19.08.2024 03:45","12800","12786"
"19.08.2024 03:45 - 19.08.2024 04:00","12800","12870"
"19.08.2024 04:00 - 19.08.2024 04:15","12900","13011"
"19.08.2024 04:15 - 19.08.2024 04:30","13000","12973"
"19.08.2024 04:30 - 19.08.2024 04:45","13050","13259"
"19.08.2024 04:45 - 19.08.2024 05:00","13150","13299"
"19.08.2024 05:00 - 19.08.2024 05:15","13300","13399"
"19.08.2024 05:15 - 19.08.2024 05:30","13550","13636"
"19.08.2024 05:30 - 19.08.2024 05:45","13850","13869"
"19.08.2024 05:45 - 19.08.2024 06:00","14600","14490"
"19.08.2024 06:00 - 19.08.2024 06:15","15450","15591"
"19.08.2024 06:15 - 19.08.2024 06:30","16100","16283"
"19.08.2024 06:30 - 19.08.2024 06:45","16750","16717"
"19.08.2024 06:45 - 19.08.2024 07:00","17250","17450"
"19.08.2024 07:00 - 19.08.2024 07:15","17850","17992"
"19.08.2024 07:15 - 19.08.2024 07:30","18200","18273"
"19.08.2024 07:30 - 19.08.2024 07:45","18500","18717"
"19.08.2024 07:45 - 19.08.2024 08:00","18950","19133"
"19.08.2024 08:00 - 19.08.2024 08:15","19300","19450"
"19.08.2024 08:15 - 19.08.2024 08:30","19500","19598"
"19.08.2024 08:30 - 19.08.2024 08:45","19750","19867"
"19.08.2024 08:45 - 19.08.2024 09:00","19950","19999"
"19.08.2024 09:00 - 19.08.2024 09:15","20000","20185"
"19.08.2024 09:15 - 19.08.2024 09:30","20000","20430"
"19.08.2024 09:30 - 19.08.2024 09:45","20000","20404"
"19.08.2024 09:45 - 19.08.2024 10:00","19850","20299"
"19.08.2024 10:00 - 19.08.2024 10:15","19800","20073"
"19.08.2024 10:15 - 19.08.2024 10:30","19900","20371"
"19.08.2024 10:30 - 19.08.2024 10:45","20050","20414"
"19.08.2024 10:45 - 19.08.2024 11:00","20050","20631"
"19.08.2024 11:00 - 19.08.2024 11:15","20100","20639"
"19.08.2024 11:15 - 19.08.2024 11:30","20100","20704"
"19.08.2024 11:30 - 19.08.2024 11:45","20150","20918"
"19.08.2024 11:45 - 19.08.2024 12:00","20200","20586"
"19.08.2024 12:00 - 19.08.2024 12:15","20250","20431"
"19.08.2024 12:15 - 19.08.2024 12:30","20250","20943"
"19.08.2024 12:30 - 19.08.2024 12:45","20250","20809"
"19.08.2024 12:45 - 19.08.2024 13:00","20250","20745"
